SalesOrderNumber;DueDate;ShipDate;OnlineOrderFlag;CustomerID;SalesPersonID;SubTotal;TaxAmt;Freight;TotalDue
SO43684;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29912;279;5596,4705;537,2612;167,8941;6301,6258
SO43685;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;30084;279;2736,5678;263,201;82,2503;3082,0191
SO43686;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29606;283;3463,2998;332,4768;103,899;3899,6756
SO43687;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29610;275;1258,3767;120,8042;37,7513;1416,9322
SO43688;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29718;275;12718,0844;1222,8838;382,1512;14323,1194
SO43689;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29646;277;33997,3702;3271,4942;1022,3419;38291,2063
SO43690;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29533;275;1297,5901;124,2027;38,8133;1460,6061
SO43691;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29570;277;874,794;83,9802;26,2438;985,018
SO43692;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29992;281;38510,8973;3696,3979;1155,1244;43362,4196
SO43693;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29491;275;20541,4072;1969,5564;615,4864;23126,45
SO43694;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29549;279;20645,634;1978,3257;618,2268;23242,1865
SO43695;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29958;279;39373,781;3787,4632;1183,5823;44344,8265
SO43696;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29849;279;419,4589;40,2681;12,5838;472,3108
SO43697;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;1;21768;NULL;3578,27;286,2616;89,4568;3953,9884
SO43698;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;1;28389;NULL;3399,99;271,9992;84,9998;3756,989
SO43699;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;1;25863;NULL;3399,99;271,9992;84,9998;3756,989
SO43700;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;1;14501;NULL;699,0982;55,9279;17,4775;772,5036
SO43701;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;1;11003;NULL;3399,99;271,9992;84,9998;3756,989
SO43702;2011-06-13 00:00:00.000;2011-06-08 00:00:00.000;1;27645;NULL;3578,27;286,2616;89,4568;3953,9884
SO43703;2011-06-13 00:00:00.000;2011-06-08 00:00:00.000;1;16624;NULL;3578,27;286,2616;89,4568;3953,9884
SO43704;2011-06-13 00:00:00.000;2011-06-08 00:00:00.000;1;11005;NULL;3374,99;269,9992;84,3748;3729,364
SO43705;2011-06-13 00:00:00.000;2011-06-08 00:00:00.000;1;11011;NULL;3399,99;271,9992;84,9998;3756,989
SO43706;2011-06-14 00:00:00.000;2011-06-09 00:00:00.000;1;27621;NULL;3578,27;286,2616;89,4568;3953,9884
SO43707;2011-06-14 00:00:00.000;2011-06-09 00:00:00.000;1;27616;NULL;3578,27;286,2616;89,4568;3953,9884
SO43708;2011-06-14 00:00:00.000;2011-06-09 00:00:00.000;1;20042;NULL;699,0982;55,9279;17,4775;772,5036
SO43709;2011-06-14 00:00:00.000;2011-06-09 00:00:00.000;1;16351;NULL;3578,27;286,2616;89,4568;3953,9884
SO43710;2011-06-14 00:00:00.000;2011-06-09 00:00:00.000;1;16517;NULL;3578,27;286,2616;89,4568;3953,9884
SO43711;2011-06-15 00:00:00.000;2011-06-10 00:00:00.000;1;27606;NULL;3578,27;286,2616;89,4568;3953,9884
SO43712;2011-06-15 00:00:00.000;2011-06-10 00:00:00.000;1;13513;NULL;3578,27;286,2616;89,4568;3953,9884
SO43713;2011-06-16 00:00:00.000;2011-06-11 00:00:00.000;1;27601;NULL;3578,27;286,2616;89,4568;3953,9884
SO43714;2011-06-16 00:00:00.000;2011-06-11 00:00:00.000;1;13591;NULL;3578,27;286,2616;89,4568;3953,9884
SO43715;2011-06-16 00:00:00.000;2011-06-11 00:00:00.000;1;16483;NULL;3578,27;286,2616;89,4568;3953,9884
SO43716;2011-06-16 00:00:00.000;2011-06-11 00:00:00.000;1;16529;NULL;3578,27;286,2616;89,4568;3953,9884
SO43717;2011-06-16 00:00:00.000;2011-06-11 00:00:00.000;1;25249;NULL;699,0982;55,9279;17,4775;772,5036
SO43718;2011-06-17 00:00:00.000;2011-06-12 00:00:00.000;1;27668;NULL;3578,27;286,2616;89,4568;3953,9884
SO43719;2011-06-17 00:00:00.000;2011-06-12 00:00:00.000;1;27612;NULL;3578,27;286,2616;89,4568;3953,9884
SO43720;2011-06-17 00:00:00.000;2011-06-12 00:00:00.000;1;13264;NULL;3578,27;286,2616;89,4568;3953,9884
SO43721;2011-06-17 00:00:00.000;2011-06-12 00:00:00.000;1;13590;NULL;3578,27;286,2616;89,4568;3953,9884
SO43722;2011-06-18 00:00:00.000;2011-06-13 00:00:00.000;1;13581;NULL;3578,27;286,2616;89,4568;3953,9884
SO43723;2011-06-18 00:00:00.000;2011-06-13 00:00:00.000;1;14520;NULL;699,0982;55,9279;17,4775;772,5036
SO43724;2011-06-18 00:00:00.000;2011-06-13 00:00:00.000;1;16520;NULL;3578,27;286,2616;89,4568;3953,9884
SO43725;2011-06-19 00:00:00.000;2011-06-14 00:00:00.000;1;13258;NULL;3578,27;286,2616;89,4568;3953,9884
SO43726;2011-06-19 00:00:00.000;2011-06-14 00:00:00.000;1;14560;NULL;699,0982;55,9279;17,4775;772,5036
SO43727;2011-06-19 00:00:00.000;2011-06-14 00:00:00.000;1;16607;NULL;3578,27;286,2616;89,4568;3953,9884
SO43728;2011-06-20 00:00:00.000;2011-06-15 00:00:00.000;1;27666;NULL;3578,27;286,2616;89,4568;3953,9884
SO43729;2011-06-20 00:00:00.000;2011-06-15 00:00:00.000;1;11238;NULL;3399,99;271,9992;84,9998;3756,989
SO43730;2011-06-20 00:00:00.000;2011-06-15 00:00:00.000;1;25861;NULL;3399,99;271,9992;84,9998;3756,989
SO43731;2011-06-20 00:00:00.000;2011-06-15 00:00:00.000;1;16629;NULL;3578,27;286,2616;89,4568;3953,9884
SO43732;2011-06-20 00:00:00.000;2011-06-15 00:00:00.000;1;11025;NULL;3374,99;269,9992;84,3748;3729,364
SO43733;2011-06-20 00:00:00.000;2011-06-15 00:00:00.000;1;27577;NULL;3578,27;286,2616;89,4568;3953,9884
SO43734;2011-06-21 00:00:00.000;2011-06-16 00:00:00.000;1;27604;NULL;3578,27;286,2616;89,4568;3953,9884
SO43735;2011-06-21 00:00:00.000;2011-06-16 00:00:00.000;1;16522;NULL;3578,27;286,2616;89,4568;3953,9884
SO43736;2011-06-21 00:00:00.000;2011-06-16 00:00:00.000;1;11002;NULL;3399,99;271,9992;84,9998;3756,989
SO43737;2011-06-22 00:00:00.000;2011-06-17 00:00:00.000;1;13261;NULL;3578,27;286,2616;89,4568;3953,9884
SO43738;2011-06-22 00:00:00.000;2011-06-17 00:00:00.000;1;11606;NULL;3578,27;286,2616;89,4568;3953,9884
SO43739;2011-06-22 00:00:00.000;2011-06-17 00:00:00.000;1;13563;NULL;3578,27;286,2616;89,4568;3953,9884
SO43740;2011-06-22 00:00:00.000;2011-06-17 00:00:00.000;1;16527;NULL;3578,27;286,2616;89,4568;3953,9884
SO43741;2011-06-23 00:00:00.000;2011-06-18 00:00:00.000;1;27671;NULL;3578,27;286,2616;89,4568;3953,9884
SO43742;2011-06-23 00:00:00.000;2011-06-18 00:00:00.000;1;13576;NULL;3578,27;286,2616;89,4568;3953,9884
SO43743;2011-06-23 00:00:00.000;2011-06-18 00:00:00.000;1;11007;NULL;3399,99;271,9992;84,9998;3756,989
SO43744;2011-06-23 00:00:00.000;2011-06-18 00:00:00.000;1;16631;NULL;3578,27;286,2616;89,4568;3953,9884
SO43745;2011-06-24 00:00:00.000;2011-06-19 00:00:00.000;1;16514;NULL;3578,27;286,2616;89,4568;3953,9884
SO43746;2011-06-24 00:00:00.000;2011-06-19 00:00:00.000;1;16616;NULL;3578,27;286,2616;89,4568;3953,9884
SO43747;2011-06-25 00:00:00.000;2011-06-20 00:00:00.000;1;27623;NULL;3578,27;286,2616;89,4568;3953,9884
SO43748;2011-06-25 00:00:00.000;2011-06-20 00:00:00.000;1;27625;NULL;3578,27;286,2616;89,4568;3953,9884
SO43749;2011-06-25 00:00:00.000;2011-06-20 00:00:00.000;1;27636;NULL;3578,27;286,2616;89,4568;3953,9884
SO43750;2011-06-25 00:00:00.000;2011-06-20 00:00:00.000;1;11591;NULL;3578,27;286,2616;89,4568;3953,9884
SO43751;2011-06-25 00:00:00.000;2011-06-20 00:00:00.000;1;11592;NULL;3578,27;286,2616;89,4568;3953,9884
SO43752;2011-06-25 00:00:00.000;2011-06-20 00:00:00.000;1;13265;NULL;3578,27;286,2616;89,4568;3953,9884
SO43753;2011-06-25 00:00:00.000;2011-06-20 00:00:00.000;1;16482;NULL;3578,27;286,2616;89,4568;3953,9884
SO43754;2011-06-26 00:00:00.000;2011-06-21 00:00:00.000;1;27617;NULL;3578,27;286,2616;89,4568;3953,9884
SO43755;2011-06-26 00:00:00.000;2011-06-21 00:00:00.000;1;27670;NULL;3578,27;286,2616;89,4568;3953,9884
SO43756;2011-06-26 00:00:00.000;2011-06-21 00:00:00.000;1;19941;NULL;699,0982;55,9279;17,4775;772,5036
SO43757;2011-06-26 00:00:00.000;2011-06-21 00:00:00.000;1;11017;NULL;3374,99;269,9992;84,3748;3729,364
SO43758;2011-06-27 00:00:00.000;2011-06-22 00:00:00.000;1;27646;NULL;3578,27;286,2616;89,4568;3953,9884
SO43759;2011-06-27 00:00:00.000;2011-06-22 00:00:00.000;1;13257;NULL;3578,27;286,2616;89,4568;3953,9884
SO43760;2011-06-27 00:00:00.000;2011-06-22 00:00:00.000;1;16352;NULL;3578,27;286,2616;89,4568;3953,9884
SO43761;2011-06-27 00:00:00.000;2011-06-22 00:00:00.000;1;16493;NULL;3578,27;286,2616;89,4568;3953,9884
SO43762;2011-06-28 00:00:00.000;2011-06-23 00:00:00.000;1;27578;NULL;3578,27;286,2616;89,4568;3953,9884
SO43763;2011-06-28 00:00:00.000;2011-06-23 00:00:00.000;1;16525;NULL;3578,27;286,2616;89,4568;3953,9884
SO43764;2011-06-28 00:00:00.000;2011-06-23 00:00:00.000;1;16612;NULL;3578,27;286,2616;89,4568;3953,9884
SO43765;2011-06-28 00:00:00.000;2011-06-23 00:00:00.000;1;11010;NULL;3399,99;271,9992;84,9998;3756,989
SO43766;2011-06-29 00:00:00.000;2011-06-24 00:00:00.000;1;16518;NULL;3578,27;286,2616;89,4568;3953,9884
SO43767;2011-06-29 00:00:00.000;2011-06-24 00:00:00.000;1;11001;NULL;3374,99;269,9992;84,3748;3729,364
SO43768;2011-06-30 00:00:00.000;2011-06-25 00:00:00.000;1;27649;NULL;3578,27;286,2616;89,4568;3953,9884
SO43769;2011-06-30 00:00:00.000;2011-06-25 00:00:00.000;1;21659;NULL;3578,27;286,2616;89,4568;3953,9884
SO43770;2011-06-30 00:00:00.000;2011-06-25 00:00:00.000;1;27614;NULL;3578,27;286,2616;89,4568;3953,9884
SO43771;2011-06-30 00:00:00.000;2011-06-25 00:00:00.000;1;14559;NULL;699,0982;55,9279;17,4775;772,5036
SO43772;2011-06-30 00:00:00.000;2011-06-25 00:00:00.000;1;16524;NULL;3578,27;286,2616;89,4568;3953,9884
SO43773;2011-06-30 00:00:00.000;2011-06-25 00:00:00.000;1;16526;NULL;3578,27;286,2616;89,4568;3953,9884
SO43774;2011-06-30 00:00:00.000;2011-06-25 00:00:00.000;1;16348;NULL;3578,27;286,2616;89,4568;3953,9884
SO43775;2011-06-30 00:00:00.000;2011-06-25 00:00:00.000;1;11027;NULL;3399,99;271,9992;84,9998;3756,989
SO43776;2011-07-01 00:00:00.000;2011-06-26 00:00:00.000;1;13260;NULL;3578,27;286,2616;89,4568;3953,9884
SO43777;2011-07-01 00:00:00.000;2011-06-26 00:00:00.000;1;16515;NULL;3578,27;286,2616;89,4568;3953,9884
SO43778;2011-07-01 00:00:00.000;2011-06-26 00:00:00.000;1;11018;NULL;3399,99;271,9992;84,9998;3756,989
SO43779;2011-07-01 00:00:00.000;2011-06-26 00:00:00.000;1;25252;NULL;699,0982;55,9279;17,4775;772,5036
SO43780;2011-07-02 00:00:00.000;2011-06-27 00:00:00.000;1;11599;NULL;3578,27;286,2616;89,4568;3953,9884
SO43781;2011-07-02 00:00:00.000;2011-06-27 00:00:00.000;1;16495;NULL;3578,27;286,2616;89,4568;3953,9884
SO43782;2011-07-02 00:00:00.000;2011-06-27 00:00:00.000;1;16516;NULL;3578,27;286,2616;89,4568;3953,9884
SO43783;2011-07-02 00:00:00.000;2011-06-27 00:00:00.000;1;16620;NULL;3578,27;286,2616;89,4568;3953,9884
SO43784;2011-07-03 00:00:00.000;2011-06-28 00:00:00.000;1;27667;NULL;3578,27;286,2616;89,4568;3953,9884
SO43785;2011-07-03 00:00:00.000;2011-06-28 00:00:00.000;1;11601;NULL;3578,27;286,2616;89,4568;3953,9884
SO43786;2011-07-03 00:00:00.000;2011-06-28 00:00:00.000;1;11607;NULL;3578,27;286,2616;89,4568;3953,9884
SO43787;2011-07-03 00:00:00.000;2011-06-28 00:00:00.000;1;29385;NULL;3399,99;271,9992;84,9998;3756,989
SO43788;2011-07-03 00:00:00.000;2011-06-28 00:00:00.000;1;11239;NULL;3374,99;269,9992;84,3748;3729,364
SO43789;2011-07-03 00:00:00.000;2011-06-28 00:00:00.000;1;25865;NULL;3374,99;269,9992;84,3748;3729,364
SO43790;2011-07-03 00:00:00.000;2011-06-28 00:00:00.000;1;25857;NULL;3399,99;271,9992;84,9998;3756,989
SO43791;2011-07-03 00:00:00.000;2011-06-28 00:00:00.000;1;16484;NULL;3578,27;286,2616;89,4568;3953,9884
SO43792;2011-07-03 00:00:00.000;2011-06-28 00:00:00.000;1;16623;NULL;3578,27;286,2616;89,4568;3953,9884
SO43793;2011-07-03 00:00:00.000;2011-06-28 00:00:00.000;1;11000;NULL;3399,99;271,9992;84,9998;3756,989
SO43794;2011-07-03 00:00:00.000;2011-06-28 00:00:00.000;1;11029;NULL;3399,99;271,9992;84,9998;3756,989
SO43795;2011-07-04 00:00:00.000;2011-06-29 00:00:00.000;1;27615;NULL;3578,27;286,2616;89,4568;3953,9884
SO43796;2011-07-04 00:00:00.000;2011-06-29 00:00:00.000;1;17956;NULL;699,0982;55,9279;17,4775;772,5036
SO43797;2011-07-04 00:00:00.000;2011-06-29 00:00:00.000;1;16345;NULL;3578,27;286,2616;89,4568;3953,9884
SO43798;2011-07-04 00:00:00.000;2011-06-29 00:00:00.000;1;16521;NULL;3578,27;286,2616;89,4568;3953,9884
SO43799;2011-07-04 00:00:00.000;2011-06-29 00:00:00.000;1;16636;NULL;3578,27;286,2616;89,4568;3953,9884
SO43800;2011-07-05 00:00:00.000;2011-06-30 00:00:00.000;1;21710;NULL;3578,27;286,2616;89,4568;3953,9884
SO43801;2011-07-05 00:00:00.000;2011-06-30 00:00:00.000;1;13583;NULL;3578,27;286,2616;89,4568;3953,9884
SO43802;2011-07-05 00:00:00.000;2011-06-30 00:00:00.000;1;11593;NULL;3578,27;286,2616;89,4568;3953,9884
SO43803;2011-07-06 00:00:00.000;2011-07-01 00:00:00.000;1;21741;NULL;3578,27;286,2616;89,4568;3953,9884
SO43804;2011-07-06 00:00:00.000;2011-07-01 00:00:00.000;1;13585;NULL;3578,27;286,2616;89,4568;3953,9884
SO43805;2011-07-06 00:00:00.000;2011-07-01 00:00:00.000;1;14510;NULL;699,0982;55,9279;17,4775;772,5036
SO43806;2011-07-06 00:00:00.000;2011-07-01 00:00:00.000;1;16523;NULL;3578,27;286,2616;89,4568;3953,9884
SO43807;2011-07-07 00:00:00.000;2011-07-02 00:00:00.000;1;11611;NULL;3578,27;286,2616;89,4568;3953,9884
SO43808;2011-07-07 00:00:00.000;2011-07-02 00:00:00.000;1;13259;NULL;3578,27;286,2616;89,4568;3953,9884
SO43809;2011-07-07 00:00:00.000;2011-07-02 00:00:00.000;1;16350;NULL;3578,27;286,2616;89,4568;3953,9884
SO43810;2011-07-07 00:00:00.000;2011-07-02 00:00:00.000;1;11004;NULL;3399,99;271,9992;84,9998;3756,989
SO43811;2011-07-07 00:00:00.000;2011-07-02 00:00:00.000;1;11026;NULL;3399,99;271,9992;84,9998;3756,989
SO43812;2011-07-08 00:00:00.000;2011-07-03 00:00:00.000;1;27662;NULL;3578,27;286,2616;89,4568;3953,9884
SO43813;2011-07-08 00:00:00.000;2011-07-03 00:00:00.000;1;28390;NULL;3374,99;269,9992;84,3748;3729,364
SO43814;2011-07-08 00:00:00.000;2011-07-03 00:00:00.000;1;25866;NULL;3374,99;269,9992;84,3748;3729,364
SO43815;2011-07-08 00:00:00.000;2011-07-03 00:00:00.000;1;16494;NULL;3578,27;286,2616;89,4568;3953,9884
SO43816;2011-07-08 00:00:00.000;2011-07-03 00:00:00.000;1;16496;NULL;3578,27;286,2616;89,4568;3953,9884
SO43817;2011-07-08 00:00:00.000;2011-07-03 00:00:00.000;1;16519;NULL;3578,27;286,2616;89,4568;3953,9884
SO43818;2011-07-08 00:00:00.000;2011-07-03 00:00:00.000;1;16528;NULL;3578,27;286,2616;89,4568;3953,9884
SO43819;2011-07-08 00:00:00.000;2011-07-03 00:00:00.000;1;11006;NULL;3399,99;271,9992;84,9998;3756,989
SO43820;2011-07-09 00:00:00.000;2011-07-04 00:00:00.000;1;27651;NULL;3578,27;286,2616;89,4568;3953,9884
SO43821;2011-07-09 00:00:00.000;2011-07-04 00:00:00.000;1;27663;NULL;3578,27;286,2616;89,4568;3953,9884
SO43822;2011-07-09 00:00:00.000;2011-07-04 00:00:00.000;1;27669;NULL;3578,27;286,2616;89,4568;3953,9884
SO43823;2011-07-09 00:00:00.000;2011-07-04 00:00:00.000;1;19942;NULL;699,0982;55,9279;17,4775;772,5036
SO43824;2011-07-09 00:00:00.000;2011-07-04 00:00:00.000;1;14558;NULL;699,0982;55,9279;17,4775;772,5036
SO43825;2011-07-09 00:00:00.000;2011-07-04 00:00:00.000;1;16349;NULL;3578,27;286,2616;89,4568;3953,9884
SO43826;2011-07-09 00:00:00.000;2011-07-04 00:00:00.000;1;11008;NULL;3374,99;269,9992;84,3748;3729,364
SO43827;2011-07-09 00:00:00.000;2011-07-04 00:00:00.000;1;25250;NULL;699,0982;55,9279;17,4775;772,5036
SO43828;2011-07-10 00:00:00.000;2011-07-05 00:00:00.000;1;27605;NULL;3578,27;286,2616;89,4568;3953,9884
SO43829;2011-07-10 00:00:00.000;2011-07-05 00:00:00.000;1;27611;NULL;3578,27;286,2616;89,4568;3953,9884
SO43830;2011-07-10 00:00:00.000;2011-07-05 00:00:00.000;1;16347;NULL;3578,27;286,2616;89,4568;3953,9884
SO43831;2011-07-10 00:00:00.000;2011-07-05 00:00:00.000;1;11028;NULL;3374,99;269,9992;84,3748;3729,364
SO43832;2011-07-10 00:00:00.000;2011-07-05 00:00:00.000;1;13584;NULL;3578,27;286,2616;89,4568;3953,9884
SO43833;2011-07-11 00:00:00.000;2011-07-06 00:00:00.000;1;21727;NULL;3578,27;286,2616;89,4568;3953,9884
SO43834;2011-07-11 00:00:00.000;2011-07-06 00:00:00.000;1;28393;NULL;3374,99;269,9992;84,3748;3729,364
SO43835;2011-07-11 00:00:00.000;2011-07-06 00:00:00.000;1;19802;NULL;3374,99;269,9992;84,3748;3729,364
SO43836;2011-07-11 00:00:00.000;2011-07-06 00:00:00.000;1;26620;NULL;699,0982;55,9279;17,4775;772,5036
SO43837;2011-07-11 00:00:00.000;2011-07-06 00:00:00.000;1;11009;NULL;3374,99;269,9992;84,3748;3729,364
SO43838;2011-07-12 00:00:00.000;2011-07-07 00:00:00.000;1;27641;NULL;3578,27;286,2616;89,4568;3953,9884
SO43839;2011-07-12 00:00:00.000;2011-07-07 00:00:00.000;1;27673;NULL;3578,27;286,2616;89,4568;3953,9884
SO43840;2011-07-12 00:00:00.000;2011-07-07 00:00:00.000;1;17957;NULL;699,0982;55,9279;17,4775;772,5036
SO43841;2011-07-12 00:00:00.000;2011-07-07 00:00:00.000;1;13406;NULL;3578,27;286,2616;89,4568;3953,9884
SO43842;2011-07-12 00:00:00.000;2011-07-07 00:00:00.000;1;16630;NULL;3578,27;286,2616;89,4568;3953,9884
SO43843;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29955;275;32940,1556;3174,1988;991,9371;37106,2915
SO43844;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29620;282;20249,94;1943,9942;607,4982;22801,4324
SO43845;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29888;279;8580,0739;823,6669;257,3959;9661,1367
SO43846;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29548;278;919,5201;90,6637;28,3324;1038,5162
SO43847;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29539;278;908,8209;86,9292;27,1654;1022,9155
SO43848;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29717;283;18269,946;1753,9148;548,0984;20571,9592
SO43849;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29818;274;20544,7015;1969,9765;615,6177;23130,2957
SO43850;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29892;282;10183,7952;982,9377;307,168;11473,9009
SO43851;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29509;275;6783,7679;651,4975;203,593;7638,8584
SO43852;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29855;282;2024,994;194,3994;60,7498;2280,1432
SO43853;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29813;282;26354,922;2530,0725;790,6477;29675,6422
SO43854;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29988;282;1749,588;167,9604;52,4876;1970,036
SO43855;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29946;278;10993,3516;1058,7224;330,8508;12382,9248
SO43856;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29680;282;2036,394;195,3874;61,0586;2292,84
SO43857;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;30074;282;7186,5371;689,052;215,3287;8090,9178
SO43858;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29961;275;13694,3494;1317,0672;411,5835;15423,0001
SO43859;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29865;276;3911,5991;375,2443;117,2639;4404,1073
SO43860;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29773;280;10993,3942;1057,2843;330,4013;12381,0798
SO43861;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29749;279;23401,1062;2244,4088;701,3777;26346,8927
SO43862;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29945;279;31000,7804;2987,8703;933,7095;34922,3602
SO43863;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29764;277;1718,8983;164,9658;51,5518;1935,4159
SO43864;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;30056;276;38474,3572;3703,8969;1157,4678;43335,7219
SO43865;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;30117;277;13196,0548;1268,2589;396,3309;14860,6446
SO43866;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29571;280;4076,388;391,2268;122,2584;4589,8732
SO43867;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29582;280;32673,0446;3149,2911;984,1535;36806,4892
SO43868;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;30042;282;2146,962;206,1084;64,4089;2417,4793
SO43869;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;30107;276;49193,9864;4734,607;1479,5647;55408,1581
SO43870;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29675;275;4316,9864;413,6232;129,2572;4859,8668
SO43871;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;30076;281;9398,8972;899,949;281,2341;10580,0803
SO43872;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;30100;276;11584,459;1110,9858;347,1831;13042,6279
SO43873;2011-07-13 00:00:00.000;2011-07-08 00:00:00.000;0;29703;276;41250,4391;3973,725;1241,789;46465,9531
